CRIM,CHAS,RM,AGE,DIS,TAX,LSTAT,MEDV
0.00632,0,6.575,65.2,4.09,296,4.98,24
0.02731,0,6.421,78.9,4.9671,242,9.14,21.6
0.02729,0,7.185,61.1,4.9671,242,4.03,34.7
0.03237,0,6.998,45.8,6.0622,222,2.94,33.4
0.06905,0,7.147,54.2,6.0622,222,NA,36.2
0.02985,0,6.43,58.7,6.0622,222,5.21,28.7
0.08829,NA,6.012,66.6,5.5605,311,12.43,22.9
0.14455,0,6.172,96.1,5.9505,311,19.15,27.1
0.21124,0,5.631,100,6.0821,311,29.93,16.5
0.17004,NA,6.004,85.9,6.5921,311,17.1,18.9
0.22489,0,6.377,94.3,6.3467,311,20.45,15
0.11747,0,6.009,82.9,6.2267,311,13.27,18.9
0.09378,0,5.889,39,5.4509,311,15.71,21.7
0.62976,0,5.949,61.8,4.7075,307,8.26,20.4
0.63796,NA,6.096,84.5,4.4619,307,10.26,18.2
0.62739,0,5.834,56.5,4.4986,307,8.47,19.9
1.05393,0,5.935,29.3,4.4986,307,6.58,23.1
0.7842,0,5.99,81.7,4.2579,307,14.67,17.5
0.80271,0,5.456,36.6,3.7965,307,11.69,20.2
0.7258,0,5.727,69.5,3.7965,307,11.28,18.2
1.25179,0,5.57,98.1,3.7979,307,21.02,13.6
0.85204,0,5.965,89.2,4.0123,307,13.83,19.6
1.23247,0,6.142,91.7,3.9769,307,18.72,15.2
0.98843,0,5.813,100,4.0952,307,19.88,14.5
0.75026,0,5.924,94.1,4.3996,307,16.3,15.6
0.84054,0,5.599,85.7,4.4546,307,16.51,13.9
0.67191,0,5.813,90.3,4.682,307,14.81,16.6
0.95577,0,6.047,88.8,4.4534,307,17.28,14.8
0.77299,0,6.495,94.4,4.4547,307,12.8,18.4
1.00245,0,6.674,87.3,4.239,307,11.98,21
1.13081,0,5.713,94.1,4.233,307,22.6,12.7
1.35472,0,6.072,100,4.175,307,13.04,14.5
1.38799,0,5.95,82,3.99,307,27.71,13.2
1.15172,0,5.701,95,3.7872,307,18.35,13.1
1.61282,0,6.096,96.9,3.7598,307,20.34,13.5
0.06417,0,5.933,68.2,3.3603,279,NA,18.9
0.09744,0,5.841,61.4,3.3779,279,11.41,20
0.08014,0,5.85,41.5,3.9342,279,8.77,21
0.17505,0,5.966,30.2,3.8473,279,10.13,24.7
0.02763,0,6.595,21.8,5.4011,252,4.32,30.8
0.03359,0,7.024,15.8,5.4011,252,1.98,34.9
0.12744,0,6.77,2.9,5.7209,233,4.84,26.6
0.1415,0,6.169,6.6,5.7209,233,5.81,25.3
0.15936,NA,6.211,6.5,5.7209,233,7.44,24.7
0.12269,0,6.069,40,5.7209,233,9.55,21.2
0.17142,0,5.682,33.8,5.1004,233,10.21,19.3
0.18836,0,5.786,33.3,5.1004,233,14.15,20
0.22927,0,6.03,85.5,5.6894,233,18.8,16.6
0.25387,0,5.399,95.3,5.87,233,30.81,14.4
0.21977,0,5.602,62,6.0877,233,16.2,19.4
0.08873,0,5.963,45.7,6.8147,243,13.45,19.7
0.04337,0,6.115,63,6.8147,243,9.43,20.5
0.0536,0,6.511,21.1,6.8147,243,5.28,25
NA,0,5.998,21.4,6.8147,243,8.43,23.4
0.0136,0,5.888,47.6,7.3197,469,14.8,18.9
0.01311,0,7.249,21.9,8.6966,226,4.81,35.4
0.02055,0,6.383,35.7,9.1876,313,5.77,24.7
0.01432,0,6.816,40.5,8.3248,256,3.95,31.6
0.15445,0,6.145,29.2,7.8148,284,6.86,23.3
0.10328,0,5.927,47.2,6.932,284,9.22,19.6
0.14932,0,5.741,66.2,7.2254,284,13.15,18.7
0.17171,0,5.966,93.4,6.8185,284,14.44,16
0.11027,0,6.456,67.8,7.2255,284,6.73,22.2
0.1265,0,6.762,43.4,7.9809,284,9.5,25
0.01951,0,7.104,59.5,9.2229,216,8.05,33
0.03584,0,6.29,17.8,6.6115,337,4.67,23.5
0.04379,0,5.787,31.1,6.6115,337,10.24,19.4
0.05789,0,5.878,21.4,6.498,345,8.1,22
0.13554,0,5.594,36.8,6.498,345,13.09,17.4
0.12816,0,5.885,33,6.498,345,8.79,20.9
0.08826,0,6.417,6.6,5.2873,305,6.72,24.2
0.15876,0,5.961,17.5,5.2873,305,9.88,21.7
0.09164,0,6.065,7.8,5.2873,305,5.52,22.8
0.19539,0,6.245,6.2,5.2873,305,NA,23.4
0.07896,0,6.273,NA,4.2515,398,6.78,24.1
0.09512,0,6.286,45,4.5026,398,8.94,21.4
0.10153,0,6.279,74.5,4.0522,398,11.97,20
0.08707,0,6.14,45.8,4.0905,398,10.27,20.8
0.05646,0,6.232,53.7,5.0141,398,12.34,21.2
0.08387,0,5.874,36.6,4.5026,398,NA,20.3
0.04113,0,6.727,33.5,5.4007,281,5.29,28
0.04462,0,6.619,70.4,5.4007,281,7.22,23.9
0.03659,0,6.302,32.2,5.4007,281,6.72,24.8
0.03551,0,6.167,46.7,5.4007,281,7.51,22.9
0.05059,0,6.389,48,4.7794,247,9.62,23.9
0.05735,0,6.63,56.1,4.4377,247,6.53,26.6
0.05188,0,6.015,45.1,4.4272,247,12.86,22.5
0.07151,0,6.121,56.8,3.7476,247,NA,22.2
0.0566,0,7.007,86.3,3.4217,270,5.5,23.6
0.05302,0,7.079,63.1,3.4145,270,5.7,28.7
0.04684,0,6.417,66.1,3.0923,270,8.81,22.6
0.03932,0,6.405,73.9,3.0921,270,8.2,22
0.04203,0,6.442,53.6,3.6659,270,8.16,22.9
0.02875,0,6.211,28.9,3.6659,270,6.21,25
0.04294,0,6.249,77.3,3.615,270,10.59,20.6
0.12204,0,6.625,57.8,3.4952,276,6.65,28.4
0.11504,0,6.163,69.6,3.4952,276,11.34,21.4
0.12083,0,8.069,76,3.4952,276,4.21,38.7
0.08187,0,7.82,36.9,3.4952,276,3.57,43.8
0.0686,0,7.416,62.5,3.4952,276,6.19,33.2
0.14866,0,6.727,79.9,2.7778,384,9.42,27.5
0.11432,0,6.781,71.3,2.8561,384,7.67,26.5
0.22876,0,6.405,85.4,2.7147,384,10.63,18.6
0.21161,0,6.137,NA,2.7147,384,13.44,19.3
0.1396,0,6.167,90,2.421,384,12.33,20.1
0.13262,0,5.851,96.7,2.1069,384,16.47,19.5
0.1712,0,5.836,91.9,2.211,384,18.66,19.5
0.13117,0,6.127,85.2,2.1224,384,14.09,20.4
0.12802,0,6.474,97.1,2.4329,384,12.27,19.8
0.26363,0,6.229,91.2,2.5451,384,15.55,19.4
0.10793,0,6.195,54.4,2.7778,384,13,21.7
0.10084,0,6.715,81.6,2.6775,432,10.16,22.8
0.12329,0,5.913,92.9,2.3534,432,16.21,18.8
0.22212,0,6.092,95.4,2.548,432,17.09,18.7
0.14231,0,6.254,84.2,2.2565,432,10.45,18.5
NA,0,5.928,88.2,2.4631,432,15.76,18.3
0.13158,0,6.176,72.5,2.7301,432,NA,21.2
0.15098,0,6.021,82.6,2.7474,432,10.3,19.2
0.13058,0,5.872,73.1,2.4775,432,15.37,20.4
0.14476,NA,5.731,65.2,2.7592,432,13.61,19.3
0.06899,0,5.87,69.7,2.2577,188,14.37,22
0.07165,0,6.004,84.1,2.1974,188,14.27,20.3
0.09299,0,5.961,92.9,2.0869,188,17.93,20.5
0.15038,0,5.856,97,1.9444,188,25.41,17.3
0.09849,0,5.879,95.8,2.0063,188,17.58,18.8
0.16902,0,5.986,88.4,1.9929,188,14.81,21.4
0.38735,0,5.613,NA,1.7572,188,27.26,15.7
0.25915,0,5.693,96,1.7883,437,17.19,16.2
0.32543,0,6.431,98.8,1.8125,437,15.39,18
0.88125,0,5.637,94.7,1.9799,437,18.34,14.3
